"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.FRA.A","OBS_VALUE","Italy","Trade balance goods, US dollar","France","Annual","Millions","12458.638604","12680.2807","14219.311943","17610.137203","15922.315661","17069.55193","15736.90886","20053.826543","17857.334303"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.DEU.A","OBS_VALUE","United States","Trade balance goods, US dollar","Germany","Annual","Millions","-64865.438285","-63573.727757","-67956.784415","-67050.949649","-56895.190348","-69539.072734","-74076.926119","-83021.006466","-84823.644956"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.JPN.A","OBS_VALUE","Canada","Trade balance goods, US dollar","Japan","Annual","Millions","-4557.929473","-5126.342898","-3678.10996","-3699.770683","-1528.604207","-1708.335613","-104.594443","-4545.17234","-5241.657764"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.USA.A","OBS_VALUE","Canada","Trade balance goods, US dollar","United States","Annual","Millions","74773.797299","84415.402746","88673.150969","94289.836331","77719.765892","128534.837556","164663.707382","149027.14985","144199.558831"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.ITA.A","OBS_VALUE","United States","Trade balance goods, US dollar","Italy","Annual","Millions","-28458.841513","-31493.759812","-31824.325392","-33570.937096","-29498.823242","-39316.179502","-41361.506165","-44012.038312","-43964.484856"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.CAN.A","OBS_VALUE","Italy","Trade balance goods, US dollar","Canada","Annual","Millions","2457.326743","2698.250392","3061.880652","3072.991106","2876.822279","3660.494381","4730.36819","4822.120709","3377.707313"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.JPN.A","OBS_VALUE","United States","Trade balance goods, US dollar","Japan","Annual","Millions","-68937.570596","-68807.966639","-67064.492675","-69111.297577","-55476.192175","-60096.649813","-67883.564262","-71175.198577","-68467.721077"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.JPN.A","OBS_VALUE","Italy","Trade balance goods, US dollar","Japan","Annual","Millions","2208.429201","2706.743967","3174.176114","4018.467226","3969.793343","3657.972913","2989.523846","2806.278464","4142.429024"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.USA.A","OBS_VALUE","Italy","Trade balance goods, US dollar","United States","Annual","Millions","25418.619376","28803.783984","31185.498567","31934.825555","31703.086673","39590.197732","42162.076639","45377.306613","42055.031057"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.GBR.A","OBS_VALUE","Italy","Trade balance goods, US dollar","United Kingdom","Annual","Millions","12355.249559","13143.602853","14771.368952","16618.351736","15737.917562","18150.53111","20052.021695","18698.921442","20943.671494"
